exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,0.327285,0.327285,0.327285,0,0.327285,Mbps,,,,,,
th_2,0.327238,0.327238,0.327238,0,0.327238,Mbps,0.327191,0.327191,0.327191,0,0.327191,Mbps
th_3,0.327285,0.327285,0.327285,0,0.327285,Mbps,,,,,,
th_4,0.327238,0.327238,0.327238,0,0.327238,Mbps,0.327191,0.327191,0.327191,0,0.327191,Mbps
th_5,0.327238,0.327238,0.327238,0,0.327238,Mbps,0.327191,0.327191,0.327191,0,0.327191,Mbps
afct_1,0.0240234,0.0240234,0.0240234,0,0.0240234,sec,,,,,,
afct_2,0.0240278,0.0240278,0.0240278,0,0.0240278,sec,0.0240321,0.0240321,0.0240321,0,0.0240321,sec
afct_3,0.0240234,0.0240234,0.0240234,0,0.0240234,sec,,,,,,
afct_4,0.0240278,0.0240278,0.0240278,0,0.0240278,sec,0.0240321,0.0240321,0.0240321,0,0.0240321,sec
afct_5,0.0240278,0.0240278,0.0240278,0,0.0240278,sec,0.0240321,0.0240321,0.0240321,0,0.0240321,sec
